MC21_SWA_M_COMPUTE_VFE;3.0A;klimenko;2022-06-07 12:48:15;
MC21_SWA_M_COMPUTE_VLS;3.0A;minachev;2022-06-08 11:53:59;
MC21_SWA_M_COMPUTE_VLS_A-25;3.0A;makarenko;2022-05-30 13:47:12;
MC21_SWA_M_COMPUTE_VLS_A-26;3.0A;makarenko;2022-05-30 15:45:12;
MC21_SWA_M_COMPUTE_VLS_A-27;3.0A;makarenko;2022-05-30 12:23:37;
MC21_SWA_M_COMPUTE_VLS_A-28;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-45;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-58;3.0A;makarenko;2022-05-30 15:45:12;
MC21_SWA_M_COMPUTE_VLS_A-59;3.0A;makarenko;2022-05-30 15:45:12;
MC21_SWA_M_COMPUTE_VLS_A-60;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-61;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-62;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-63;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-64;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-65;3.0A;makarenko;2022-06-04 16:22:08;
MC21_SWA_M_COMPUTE_VLS_A-66;3.0A;makarenko;2022-06-05 13:56:21;
MC21_SWA_M_COMPUTE_VLS_A-67;3.0A;makarenko;2022-06-05 13:56:21;
MC21_SWA_M_COMPUTE_VLS_A-70;3.0A;makarenko;2022-06-05 13:56:21;
MC21_SWA_M_COMPUTE_VLS_A-84;3.0A;makarenko;2022-06-05 13:56:21;
MC21_SWA_M_COMPUTE_VLS_FIN;3.0A;minachev;2022-06-09 11:06:42;
MC21_SWA_M_COMPUTE_VLS_INTERP3D_7_7_10;2.0 ;makarenko;2022-05-30 12:20:21;
MC21_SWA_M_COMPUTE_VO_ACTIVE;3.0A;michenko;2022-04-18 15:50:53;
MC21_SWA_M_COMPUTE_VS_VF;2.0;minachev;2021-09-17 15:58:38;
MC21_SWA_M_COMPUTE_VS_VF_A-40;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-41;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-42;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-43;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-44;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-48;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-49;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-50;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-51;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-71;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-72;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_COMPUTE_VS_VF_A-73;2.0 ;butakova;2021-12-23 15:31:14;
MC21_SWA_M_DATA_CHOICE_GEAR_UP;3.0A;michenko;2022-05-05 10:15:23;
MC21_SWA_M_DATA_DELTA_SPOILERS;3.0A;michenko;2022-05-19 11:29:44;
MC21_SWA_M_DCA_SOURCE_CHOICE;3.0A;michenko;2022-04-08 00:35:54;
MC21_SWA_M_FWS_CHOICE;3.0A;kardailskaya;2022-03-25 09:27:08;
MC21_SWA_M_ICE_DETECTED;2,5;dyachenko;2022-02-23 05:56:59;
MC21_SWA_M_ICE_DETECTED_DELAY_1;error;michenko;2022-06-08 15:02:24;
MC21_SWA_M_ICE_DETECTED_DELAY_2;3.0A;michenko;2022-06-07 14:50:54;
MC21_SWA_M_INDICATE_AOA_ACTIVE;2.5;dyachenko;2022-02-25 15:59:36;
MC21_SWA_M_INDICATE_VLS;3.0A;klimenko;2022-04-26 14:09:35;
MC21_SWA_M_IRS_DATA_CHOICE;2.0;dyachenko;2021-09-21 00:12:38;
MC21_SWA_M_IVK_KSU_CHOICE_F_S;2.0;dyachenko;2022-02-07 15:31:53;
MC21_SWA_M_IVK_KSU_DATA_CHOICE;3.0A;kardailskaya;2022-04-28 12:15:10;
MC21_SWA_M_MCU_DATA_CHOICE;3.0A;kardailskaya;2022-04-28 13:40:21;
MC21_SWA_M_RA_DATA_SOURCE_CHOICE;3.0A;kardailskaya;2022-04-27 14:21:10;
MC21_SWA_M_SS_SHAKER_CHOICE;3.0A;klimenko;2022-04-28 12:30:54;
MC21_SWA_M_SWA_GLOBAL;3.0A;michenko;2022-05-16 14:28:15;
MC21_SWA_M_SWA_GLOBAL_A-22;2.0;butakova;2022-01-12 20:38:33;
MC21_SWA_M_VMO_CHOICE;None;klimenko;2021-09-21 14:14:34;
MC21_SWA_M_VMO_CHOICE_A-22;3.0A;michenko;2022-04-29 06:00:55;
MC21_SWA_M_WOW_SOURCE;3.0A;klimenko;2022-06-06 14:00:05;
